identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
Amazon SNS,OTHER,"",false,true,,,,critical,,2025-11-21 13:08:56 UTC,2025-11-21 13:08:56 UTC
Amazon WorkSpaces Secure Browser,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon API Gateway,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:54 UTC,2024-09-05 12:30:54 UTC
Amazon EC2 Image Builder,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
node.e2ro.com/*,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
AWS Support,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Wickr,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Q in QuickSight,OTHER,"",false,true,,,,critical,,2025-07-09 13:37:02 UTC,2025-07-09 13:37:02 UTC
AWS Transfer Family,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Fargate,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
